District,Upazila,Area,Post Code,Home Delivery,Lockdown,Charge(1kg),Charge(2kg),Charge(3kg),COD Charge,,
Dhaka,Green Road,Green Road,1205,Yes,No,60,75,90,0%,,
Dhaka,Manik Mia Avenue,Manik Mia Avenue,1225,Yes,No,60,75,90,0%,,
Dhaka,Asad Avenue,Asad Avenue,1207,Yes,No,60,75,90,0%,,
Dhaka,West Dhanmondi,West Dhanmondi,1209,Yes,No,60,75,90,0%,,
Dhaka,Shankar,Shankar,1209,Yes,No,60,75,90,0%,,
Dhaka,Rayer Bazar,Rayer Bazar,1209,Yes,No,60,75,90,0%,,
Dhaka,Tallabag,Tallabag,1209,Yes,No,60,75,90,0%,,
Dhaka,Hazaribag,Hazaribag,1209,Yes,No,60,75,90,0%,,
Dhaka,Pilkhana,Pilkhana,1209,Yes,No,60,75,90,0%,,
Dhaka,Nawabgonj Puran Dhaka,Nawabgonj Puran Dhaka,1320,Yes,No,60,75,90,0%,,
Dhaka,New Market,New Market,1205,Yes,No,60,75,90,0%,,
Dhaka,Azimpur,Azimpur,1205,Yes,No,60,75,90,0%,,
Dhaka,Nilkhet,Nilkhet,1205,Yes,No,60,75,90,0%,,
Dhaka,Lalbagh,Lalbagh,1211,Yes,No,60,75,90,0%,,
Dhaka,Chawkbazar (Dhaka),Chawkbazar (Dhaka),1100,Yes,No,60,75,90,0%,,
Dhaka,Naya Bazar,Naya Bazar,1100,Yes,No,60,75,90,0%,,
Dhaka,Tatibazar,Tatibazar,1100,Yes,No,60,75,90,0%,,
Dhaka,Luxmi Bazar,Luxmi Bazar,1100,Yes,No,60,75,90,0%,,
Dhaka,Puran Dhaka,Puran Dhaka,1100,Yes,No,60,75,90,0%,,
Dhaka,Siddique Bazar,Siddique Bazar,1100,Yes,No,60,75,90,0%,,
Dhaka,Tikatuly,Tikatuly,1203,Yes,No,60,75,90,0%,,
Dhaka,Motijheel,Motijheel,1223,Yes,No,60,75,90,0%,,
Dhaka,Nawabpur,Nawabpur,1100,Yes,No,60,75,90,0%,,
Dhaka,Kaptan Bazar,Kaptan Bazar,1100,Yes,No,60,75,90,0%,,
Dhaka,Gulistan,Gulistan,1100,Yes,No,60,75,90,0%,,
Dhaka,Bongo Bazar,Bongo Bazar,1100,Yes,No,60,75,90,0%,,
Dhaka,Chankarpul,Chankarpul,1100,Yes,No,60,75,90,0%,,
Dhaka,Palashi,Palashi,1211,Yes,No,60,75,90,0%,,
Dhaka,Dhakeshwari,Dhakeshwari,1211,Yes,No,60,75,90,0%,,
Dhaka,Kamalapur,Kamalapur,1222,Yes,No,60,75,90,0%,,
Dhaka,Wari,Wari,1203,Yes,No,60,75,90,0%,,
Dhaka,Narinda,Narinda,1203,Yes,No,60,75,90,0%,,
Dhaka,Dainik Bangla Mor,Dainik Bangla Mor,1000,Yes,No,60,75,90,0%,,
Dhaka,Fakirapul,Fakirapul,1000,Yes,No,60,75,90,0%,,
Dhaka,Kakrail,Kakrail,1217,Yes,No,60,75,90,0%,,
Dhaka,Naya Paltan,Naya Paltan,1000,Yes,No,60,75,90,0%,,
Dhaka,Bijoynagar,Bijoynagar,1000,Yes,No,60,75,90,0%,,
Dhaka,Press Club,Press Club,1000,Yes,No,60,75,90,0%,,
Dhaka,High Court,High Court,1000,Yes,No,60,75,90,0%,,
Dhaka,Dhaka University,Dhaka University,1205,Yes,No,60,75,90,0%,,
Dhaka,Dhaka Medical,Dhaka Medical,1100,Yes,No,60,75,90,0%,,
Dhaka,Bongo Bondhu Avenue,Bongo Bondhu Avenue,1100,Yes,No,60,75,90,0%,,
Dhaka,Kazi Nazrul Islam Avenue,Kazi Nazrul Islam Avenue,1100,Yes,No,60,75,90,0%,,
Dhaka,Kawran Bazar,Kawran Bazar,1215,Yes,No,60,75,90,0%,,
Dhaka,Ramna,Ramna,1217,Yes,No,60,75,90,0%,,
Dhaka,Shantinagar,Shantinagar,1217,Yes,No,60,75,90,0%,,
Dhaka,Shantibag,Shantibag,1217,Yes,No,60,75,90,0%,,
Dhaka,Baily Road,Baily Road,1217,Yes,No,60,75,90,0%,,
Dhaka,Minto Road,Minto Road,1217,Yes,No,60,75,90,0%,,
Dhaka,Old Elephant Road,Old Elephant Road,1217,Yes,No,60,75,90,0%,,
Dhaka,Eskaton Garden Road,Eskaton Garden Road,1217,Yes,No,60,75,90,0%,,
Dhaka,Eskaton,Eskaton,1217,Yes,No,60,75,90,0%,,
Dhaka,Moghbazar,Moghbazar,1217,Yes,No,60,75,90,0%,,
Dhaka,Mouchak,Mouchak,1217,Yes,No,60,75,90,0%,,
Dhaka,Malibag,Malibag,1217,Yes,No,60,75,90,0%,,
Dhaka,Rampura,Rampura,1219,Yes,No,60,75,90,0%,,
Dhaka,Shahbag,Shahbag,1205,Yes,No,60,75,90,0%,,
Dhaka,Katabon,Katabon,1205,Yes,No,60,75,90,0%,,
Dhaka,Hatirpool,Hatirpool,1205,Yes,No,60,75,90,0%,,
Dhaka,Bashabo,Bashabo,1214,Yes,No,60,75,90,0%,,
Dhaka,Khilgaon,Khilgaon,1219,Yes,No,60,75,90,0%,,
Dhaka,Middle Bashabo,Middle Bashabo,1214,Yes,No,60,75,90,0%,,
Dhaka,Goran,Goran,1219,Yes,No,60,75,90,0%,,
Dhaka,Madartek,Madartek,1219,Yes,No,60,75,90,0%,,
Dhaka,Manik Nagar,Manik Nagar,,Yes,No,60,75,90,0%,,
Dhaka,Shahjahanpur,Shahjahanpur,1214,Yes,No,60,75,90,0%,,
Dhaka,Banasree,Banasree,1219,Yes,No,60,75,90,0%,,
Dhaka,Meradia,Meradia,1219,Yes,No,60,75,90,0%,,
Dhaka,Khilbari Tek,Khilbari Tek,,Yes,No,60,75,90,0%,,
Dhaka,Bawaliapara,Bawaliapara,,Yes,No,60,75,90,0%,,
Dhaka,Mughdapara,Mughdapara,1214,Yes,No,60,75,90,0%,,
Dhaka,Golapbag (Dhaka),Golapbag (Dhaka),,Yes,No,60,75,90,0%,,
Dhaka,Jatrabari,Jatrabari,1236,Yes,No,60,75,90,0%,,
Dhaka,Hatirjheel,Hatirjheel,,Yes,No,60,75,90,0%,,
Dhaka,Banglamotor,Banglamotor,1217,Yes,No,60,75,90,0%,,
Dhaka,Paribag,Paribag,1205,Yes,No,60,75,90,0%,,
Dhaka,Bakshibazar,Bakshibazar,1100,Yes,No,60,75,90,0%,,
Dhaka,Elephant Road,Elephant Road,1205,Yes,No,60,75,90,0%,,
Dhaka,Kathalbagan,Kathalbagan,1205,Yes,No,60,75,90,0%,,
Dhaka,Malibagh Taltola,Malibagh Taltola,1219,Yes,No,60,75,90,0%,,
Dhaka,Central Road,Central Road,1205,Yes,No,60,75,90,0%,,
Dhaka,Sabujbag,Sabujbag,1214,Yes,No,60,75,90,0%,,
Dhaka,Shiddheswari,Shiddheswari,1217,Yes,No,60,75,90,0%,,
Dhaka,Dolaikhal,Dolaikhal,1100,Yes,No,60,75,90,0%,,
Dhaka,Shegunbagicha,Shegunbagicha,1217,Yes,No,60,75,90,0%,,
Dhaka,Rajarbag,Rajarbag,1217,Yes,No,60,75,90,0%,,
Dhaka,Babubazar,Babubazar,1100,Yes,No,60,75,90,0%,,
Dhaka,Islampur(Dhaka),Islampur(Dhaka),1100,Yes,No,60,75,90,0%,,
Dhaka,Imamgonj,Imamgonj,1100,Yes,No,60,75,90,0%,,
Dhaka,Nayabazar,Nayabazar,1100,Yes,No,60,75,90,0%,,
Dhaka,Zigatola,Zigatola,1209,Yes,No,60,75,90,0%,,
Dhaka,Kazipara,Kazipara,1216,Yes,No,60,75,90,0%,,
Dhaka,Shewrapara,Shewrapara,1216,Yes,No,60,75,90,0%,,
Dhaka,Kalshi,Kalshi,1216,Yes,No,60,75,90,0%,,
Dhaka,Sutrapur,Sutrapur,1100,Yes,No,60,75,90,0%,,
Dhaka,Purana Paltan,Purana Paltan,1000,Yes,No,60,75,90,0%,,
Dhaka,Shyampur,Shyampur,1204,Yes,No,60,75,90,0%,,
Dhaka,Dholaipar,Dholaipar,1236,Yes,No,60,75,90,0%,,
Dhaka,Monipuripara,Monipuripara,1215,Yes,No,60,75,90,0%,,
Dhaka,Bosila,Bosila,1207,Yes,No,60,75,90,0%,,
Dhaka,Shonir Akhra,Shonir Akhra,1362,Yes,No,60,75,90,0%,,
Dhaka,Mirpur(Dhaka),Mirpur(Dhaka),1216,Yes,No,60,75,90,0%,,
Dhaka,Bongshal,Bongshal,1100,Yes,No,60,75,90,0%,,
Dhaka,Siddweswari,Siddweswari,1217,Yes,No,60,75,90,0%,,
Dhaka,Nakhalpara,Nakhalpara,1208,Yes,No,60,75,90,0%,,
Dhaka,Dokshingaon,Dokshingaon,,Yes,No,60,75,90,0%,,
Dhaka,Joar Shahara,Joar Shahara,1229,Yes,No,60,75,90,0%,,
Dhaka,Science Lab,Science Lab,1205,Yes,No,60,75,90,0%,,
Dhaka,Sobhanbag,Sobhanbag,1215,Yes,No,60,75,90,0%,,
Dhaka,ECB Chattar,ECB Chattar,1216,Yes,No,60,75,90,0%,,
Dhaka,Arambag,Arambag,1223,Yes,No,60,75,90,0%,,
Dhaka,Armanitola,Armanitola,1100,Yes,No,60,75,90,0%,,
Dhaka,Islambag,Islambag,1100,Yes,No,60,75,90,0%,,
Dhaka,Kamarpara,Kamarpara,1230,Yes,No,60,75,90,0%,,
Dhaka,Mitford,Mitford,1100,Yes,No,60,75,90,0%,,
Dhaka,Shakhari Bazar,Shakhari Bazar,1100,Yes,No,60,75,90,0%,,
Dhaka,Katherpol,Katherpol,1100,Yes,No,60,75,90,0%,,
Dhaka,Bangla Bazar,Bangla Bazar,1100,Yes,No,60,75,90,0%,,
Dhaka,Patuatuly,Patuatuly,1100,Yes,No,60,75,90,0%,,
Dhaka,Nandipara,Nandipara,1214,Yes,No,60,75,90,0%,,
Dhaka,Nazira Bazar,Nazira Bazar,1100,Yes,No,60,75,90,0%,,
Dhaka,Gopibag,Gopibag,1203,Yes,No,60,75,90,0%,,
Dhaka,Shwamibag,Shwamibag,1203,Yes,No,60,75,90,0%,,
Dhaka,Sayedabad,Sayedabad,1203,Yes,No,60,75,90,0%,,
Dhaka,Sadarghat (Dhaka),Sadarghat (Dhaka),1100,Yes,No,60,75,90,0%,,
Dhaka,Kaltabazar,Kaltabazar,1100,Yes,No,60,75,90,0%,,
Dhaka,Jurain,Jurain,1204,Yes,No,60,75,90,0%,,
Dhaka,Gandaria,Gandaria,1204,Yes,No,60,75,90,0%,,
Dhaka,RayerBag,RayerBag,1204,Yes,No,60,75,90,0%,,
Dhaka,Faridabad,Faridabad,1204,Yes,No,60,75,90,0%,,
Dhaka,Matuail,Matuail,1361,Yes,No,60,75,90,0%,,
Dhaka,Donia,Donia,1236,Yes,No,60,75,90,0%,,
Dhaka,Postogola,Postogola,1204,Yes,No,60,75,90,0%,,
Dhaka,Konapara,Konapara,1361,Yes,No,60,75,90,0%,,
Dhaka,Dhaka Uddyan,Dhaka Uddyan,1207,Yes,No,60,75,90,0%,,
Dhaka,Shekhertek,Shekhertek,1207,Yes,No,60,75,90,0%,,
Dhaka,CWH,CWH,5999,Yes,No,60,75,90,0%,,
Dhaka,Mirpur Taltola,Mirpur Taltola,1216,Yes,No,60,75,90,0%,,
Dhaka,Manda(Dhaka),Manda(Dhaka),1214,Yes,No,60,75,90,0%,,
Dhaka,Shahjahanpur (Dhaka),Shahjahanpur (Dhaka),1214,Yes,No,60,75,90,0%,,
Narayanganj,Chittagong Road (Narayanganj),Chittagong Road (Narayanganj),1400,Yes,No,60,75,90,0%,,
Dhaka,Haterrjheel,Haterrjheel,,Yes,No,60,75,90,0%,,
Dhaka,Dhaka uddan,Dhaka uddan,,Yes,No,60,75,90,0%,,
Dhaka,Nobodoy,Nobodoy,,Yes,No,60,75,90,0%,,
Dhaka,Chad Uddan,Chad Uddan,,Yes,No,60,75,90,0%,,
Dhaka,Mohammadia Housing,Mohammadia Housing,,Yes,No,60,75,90,0%,,
Dhaka,Ring Road,Ring Road,,Yes,No,60,75,90,0%,,
Dhaka,Tajmahal Road,Tajmahal Road,,Yes,No,60,75,90,0%,,
Dhaka,Nurjahan Road,Nurjahan Road,,Yes,No,60,75,90,0%,,
Dhaka,Rajia Sultana Road,Rajia Sultana Road,,Yes,No,60,75,90,0%,,
Dhaka,Uttara Sector-4,Uttara Sector-4,,Yes,No,60,75,90,0%,,
Dhaka,Goaltek,Goaltek,,Yes,No,60,75,90,0%,,
Dhaka,Chalabon,Chalabon,,Yes,No,60,75,90,0%,,
Dhaka,Mollapara,Mollapara,,Yes,No,60,75,90,0%,,
Dhaka,Azampur (East),Azampur (East),,Yes,No,60,75,90,0%,,
Dhaka,Uttara Sector 5,Uttara Sector 5,,Yes,No,60,75,90,0%,,
Dhaka,Uttara Sector 14,Uttara Sector 14,,Yes,No,60,75,90,0%,,
Dhaka,Uttara Sector 3,Uttara Sector 3,,Yes,No,60,75,90,0%,,
Dhaka,Uttara Sector 7,Uttara Sector 7,,Yes,No,60,75,90,0%,,
Dhaka,Uttara Sector 9,Uttara Sector 9,,Yes,No,60,75,90,0%,,
Dhaka,Uttara Sector 11,Uttara Sector 11,,Yes,No,60,75,90,0%,,
Dhaka,Nalbhog,Nalbhog,,Yes,No,60,75,90,0%,,
Dhaka,Azampur (West),Azampur (West),,Yes,No,60,75,90,0%,,
Dhaka,Phulbaria,Phulbaria,,Yes,No,60,75,90,0%,,
Dhaka,Dhour,Dhour,,Yes,No,60,75,90,0%,,
Dhaka,Bhatuliya,Bhatuliya,,Yes,No,60,75,90,0%,,
Dhaka,Bamnartek,Bamnartek,,Yes,No,60,75,90,0%,,
Dhaka,Turag,Turag,,Yes,No,60,75,90,0%,,
Dhaka,Kallanpur,Kallanpur,,Yes,No,60,75,90,0%,,
Dhaka,Amin Bazar,Amin Bazar,,Yes,No,60,75,90,0%,,
Dhaka,Lalkuthi,Lalkuthi,,Yes,No,60,75,90,0%,,
Dhaka,Mirpur 1,Mirpur 1,,Yes,No,60,75,90,0%,,
Dhaka,Tolarbag,Tolarbag,,Yes,No,60,75,90,0%,,
Dhaka,Ahmed Nagar,Ahmed Nagar,,Yes,No,60,75,90,0%,,
Dhaka,Paikpara,Paikpara,,Yes,No,60,75,90,0%,,
Dhaka,Pirerbag,Pirerbag,,Yes,No,60,75,90,0%,,
Dhaka,Taltola,Taltola,,Yes,No,60,75,90,0%,,
Dhaka,MES Colony,MES Colony,,Yes,No,60,75,90,0%,,
Dhaka,Zia Colony,Zia Colony,,Yes,No,60,75,90,0%,,
Dhaka,Ajiz Market,Ajiz Market,,Yes,No,60,75,90,0%,,
Dhaka,Aga Nagar,Aga Nagar,,Yes,No,60,75,90,0%,,
Dhaka,Kathuria,Kathuria,,Yes,No,60,75,90,0%,,
Dhaka,Goljarbag,Goljarbag,,Yes,No,60,75,90,0%,,
Dhaka,Nazirabag,Nazirabag,,Yes,No,60,75,90,0%,,
Dhaka,Kaliganj,Kaliganj,,Yes,No,60,75,90,0%,,
Dhaka,Nazarganj,Nazarganj,,Yes,No,60,75,90,0%,,
Dhaka,Zinzira,Zinzira,,Yes,No,60,75,90,0%,,
Dhaka,Kunipara,Kunipara,,Yes,No,60,75,90,0%,,
Dhaka,Babli Masjid,Babli Masjid,,Yes,No,60,75,90,0%,,
Dhaka,Kaderabad Housing,Kaderabad Housing,,Yes,No,60,75,90,0%,,
Dhaka,Kunia,Kunia,,Yes,No,60,75,90,0%,,
Dhaka,Gacha,Gacha,,Yes,No,60,75,90,0%,,
Dhaka,Boro Bari,Boro Bari,,Yes,No,60,75,90,0%,,
Dhaka,Board Bazar,Board Bazar,,Yes,No,60,75,90,0%,,
Dhaka,Kamarjuri,Kamarjuri,,Yes,No,60,75,90,0%,,
Dhaka,Dattapara,Dattapara,,Yes,No,60,75,90,0%,,
Dhaka,Auchpara,Auchpara,,Yes,No,60,75,90,0%,,
Dhaka,Cherag Ali,Cherag Ali,,Yes,No,60,75,90,0%,,
Dhaka,Tongi Bazar (Dhaka),Tongi Bazar (Dhaka),,Yes,No,60,75,90,0%,,
Dhaka,Ershadnagar,Ershadnagar,,Yes,No,60,75,90,0%,,
Dhaka,Sataish,Sataish,,Yes,No,60,75,90,0%,,
Dhaka,Apollo,Apollo,,Yes,No,60,75,90,0%,,
Dhaka,Nurer Chala,Nurer Chala,,Yes,No,60,75,90,0%,,
Dhaka,Bawaila Para,Bawaila Para,,Yes,No,60,75,90,0%,,
Dhaka,Satarkul,Satarkul,,Yes,No,60,75,90,0%,,
Dhaka,Khilbar Tek,Khilbar Tek,,Yes,No,60,75,90,0%,,
Dhaka,Buddho Mondir,Buddho Mondir,,Yes,No,60,75,90,0%,,
Dhaka,Sipahibag,Sipahibag,,Yes,No,60,75,90,0%,,
Dhaka,TT Para,TT Para,,Yes,No,60,75,90,0%,,
Dhaka,Eastern Housing,Eastern Housing,,Yes,No,60,75,90,0%,,
Dhaka,Teskunipara,Teskunipara,,Yes,No,60,75,90,0%,,
Dhaka,DHAKA TENARI MORE,DHAKA TENARI MORE,,Yes,No,60,75,90,0%,,
Dhaka,Shahidnagar,Shahidnagar,,Yes,No,60,75,90,0%,,
Dhaka,Jhigatola,Jhigatola,,Yes,No,60,75,90,0%,,
Dhaka,Polashi,Polashi,,Yes,No,60,75,90,0%,,
Dhaka,Satmoshjid Road,Satmoshjid Road,,Yes,No,60,75,90,0%,,
Dhaka,Shukrabad,Shukrabad,,Yes,No,60,75,90,0%,,
Dhaka,BNP Bazar,BNP Bazar,,Yes,No,60,75,90,0%,,
Dhaka,Kalachandpur,Kalachandpur,,Yes,No,60,75,90,0%,,
Dhaka,Jogonnathpur,Jogonnathpur,,Yes,No,60,75,90,0%,,
Dhaka,Kuratuli,Kuratuli,,Yes,No,60,75,90,0%,,
Dhaka,Alatunnessa School Road,Alatunnessa School Road,,Yes,No,60,75,90,0%,,
Dhaka,Purbo Rampura,Purbo Rampura,,Yes,No,60,75,90,0%,,
Dhaka,Bou Bazar,Bou Bazar,,Yes,No,60,75,90,0%,,
Dhaka,Chairman Goli,Chairman Goli,,Yes,No,60,75,90,0%,,
Dhaka,Confidence Tower,Confidence Tower, Jhilpar,,Yes,No,60,75,90,0%,
Dhaka,Fuji Trade Center,Fuji Trade Center,,Yes,No,60,75,90,0%,,
Dhaka,Khil Barirtek,Khil Barirtek,,Yes,No,60,75,90,0%,,
Dhaka,Korail,Korail,,Yes,No,60,75,90,0%,,
Dhaka,Mahanogor,Mahanogor,,Yes,No,60,75,90,0%,,
Dhaka,Nimtola,Nimtola,,Yes,No,60,75,90,0%,,
Dhaka,Nurerchala,Nurerchala,,Yes,No,60,75,90,0%,,
Dhaka,Pastola Bazar,Pastola Bazar,,Yes,No,60,75,90,0%,,
Dhaka,Poschim Badda,Poschim Badda,,Yes,No,60,75,90,0%,,
Dhaka,Purbo Badda,Purbo Badda,,Yes,No,60,75,90,0%,,
Dhaka,Sat-tola Bazar,Sat-tola Bazar,,Yes,No,60,75,90,0%,,
Dhaka,Shaheenbagh,Shaheenbagh,,Yes,No,60,75,90,0%,,
Dhaka,Subastu,Subastu,,Yes,No,60,75,90,0%,,
Dhaka,ICDDRB,ICDDRB,,Yes,No,60,75,90,0%,,
Dhaka,Satrasta,Satrasta,,Yes,No,60,75,90,0%,,
Dhaka,Tekpara Adorsonagor,Tekpara Adorsonagor,,Yes,No,60,75,90,0%,,
Dhaka,Uttar Badda,Uttar Badda,,Yes,No,60,75,90,0%,,
Dhaka,Wireless,Wireless,,Yes,No,60,75,90,0%,,
Dhaka,Solmaid,Solmaid,,Yes,No,60,75,90,0%,,
Dhaka,300 Feet,300 Feet,,Yes,No,60,75,90,0%,,
Dhaka,Mirhazirbagh,Mirhazirbagh,,Yes,No,60,75,90,0%,,
Dhaka,Bhuigarh-Narayangonj,Bhuigarh-Narayangonj,,Yes,No,60,75,90,0%,,
Dhaka,Mahut Tuli,Mahut Tuli,,Yes,No,60,75,90,0%,,
Dhaka,Alubazar,Alubazar,,Yes,No,60,75,90,0%,,
Dhaka,Badam Toli,Badam Toli,,Yes,No,60,75,90,0%,,
Dhaka,Chamelibag,Chamelibag,,Yes,No,60,75,90,0%,,
Dhaka,Dholaikhal,Dholaikhal,,Yes,No,60,75,90,0%,,
Dhaka,Doyagonj,Doyagonj,,Yes,No,60,75,90,0%,,
Dhaka,Farashgong,Farashgong,,Yes,No,60,75,90,0%,,
Dhaka,Dholpur,Dholpur,,Yes,No,60,75,90,0%,,
Dhaka,Kodomtoli,Kodomtoli,,Yes,No,60,75,90,0%,,
Dhaka,Kotwali,Kotwali,,Yes,No,60,75,90,0%,,
Dhaka,Railway Colony,Railway Colony,,Yes,No,60,75,90,0%,,
Dhaka,Rajar Dewri,Rajar Dewri,,Yes,No,60,75,90,0%,,
Dhaka,Hasnabad,Hasnabad,,Yes,No,60,75,90,0%,,
