District,Thana,Area,Post Code,Home Delivery,Lockdown,Charge(1kg),Charge(2kg),Charge(3kg),COD Charge,
Dhaka,Dhaka,Chawkbazar (Dhaka),1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Naya Bazar,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Tatibazar,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Luxmi Bazar,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Puran Dhaka,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Siddique Bazar,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Tikatuly,1203,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Motijheel,1223,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Nawabpur,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kaptan Bazar,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Gulistan,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Bongo Bazar,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Chankarpul,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Palashi,1211,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Dhakeshwari,1211,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kamalapur,1222,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Wari,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Narinda,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Dainik Bangla Mor,1000,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Fakirapul,1000,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kakrail,1217,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Naya Paltan,1000,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Bijoynagar (Paltan),1000,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Press Club,1000,Yes,No,60,75,90,0%,
Dhaka,Dhaka,High Court,1000,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Dhaka University,1205,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Dhaka Medical,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Bongo Bondhu Avenue,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kazi Nazrul Islam Avenue,1205,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kawran Bazar,1215,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Ramna,1217,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Shantinagar,1217,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Shantibag,1217,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Baily Road,1217,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Minto Road,1217,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Old Elephant Road,1205,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Eskaton Garden Road,1217,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Eskaton,1217,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Moghbazar,1217,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Mouchak,1217,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Malibag,1217,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Rampura,1219,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Shahbag,1205,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Katabon,1205,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Hatirpool,1205,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Bashabo,1214,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Khilgaon,1219,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Middle Bashabo,1214,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Goran,1219,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Madartek,1219,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Manik Nagar,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Shahjahanpur,1214,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Banasree (Rampura),1219,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Meradia,1219,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Khilbari Tek (Badda),,Yes,No,60,75,90,0%,
Narayanganj,Narayanganj,Bawaliapara (Narayangaj),,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Mughdapara,1214,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Golapbag (Dhaka),,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Jatrabari,1236,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Hatirjheel,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Banglamotor,1217,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Paribag,1205,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Bakshibazar,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Elephant Road,1205,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kathalbagan,1205,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Malibagh Taltola,1219,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Central Road,1205,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Sabujbag,1214,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Shiddheswari,1217,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Dolaikhal,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Shegunbagicha,1217,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Rajarbag,1217,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Babubazar,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Islampur(Dhaka),1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Imamgonj,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Nayabazar,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Zigatola,1209,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kazipara,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Shewrapara,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kalshi,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Sutrapur,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Purana Paltan,1000,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Shyampur,1204,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Dholaipar,1236,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Monipuripara,1215,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Bosila,1207,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Shonir Akhra,1362,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Mirpur 2,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Bongshal,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Siddweswari,1217,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Nakhalpara,1208,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Dokshingaon,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Joar Shahara,1229,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Science Lab,1205,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Sobhanbag,1215,Yes,No,60,75,90,0%,
Dhaka,Dhaka,ECB Chattar,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Arambag (Motijheel),1223,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Armanitola,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Islambag,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kamarpara,1230,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Mitford,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Shakhari Bazar,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Katherpol,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Bangla Bazar,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Patuatuly,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Nandipara,1214,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Nazira Bazar,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Gopibag,1203,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Shwamibag,1203,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Sayedabad,1203,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Sadarghat (Dhaka),1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kaltabazar,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Jurain,1204,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Gandaria,1100,Yes,No,60,75,90,0%,
Dhaka,Dhaka,RayerBag,1204,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Faridabad (Jatrabari),1204,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Matuail,1361,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Donia,1236,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Postogola,1204,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Konapara,1361,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Dhaka Uddyan,1207,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Shekhertek,1207,Yes,No,60,75,90,0%,
Dhaka,Dhaka,CWH,5999,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Mirpur Taltola,1216,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Manda(Dhaka),1214,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Shahjahanpur (Dhaka),1214,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Haterrjheel,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Dhaka uddan,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Nobodoy,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Chad Uddan,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Mohammadia Housing,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Ring Road,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Tajmahal Road,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Nurjahan Road,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Rajia Sultana Road,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Uttara Sector-4,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Goaltek,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Chalabon,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Mollapara,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Azampur (East) (Dakshinkhan),,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Uttara Sector 5,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Uttara Sector 14,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Uttara Sector 3,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Uttara Sector 7,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Uttara Sector 9,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Uttara Sector 11,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Nalbhog,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Azampur (West) (Uttara),,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Phulbaria,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Dhour,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Bhatuliya,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Bamnartek,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Turag,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kallanpur,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Lalkuthi,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Mirpur 1,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Tolarbag,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Ahmed Nagar,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Paikpara,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Pirerbag,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Taltola (Mirpur),,Yes,No,60,75,90,0%,
Dhaka,Dhaka,MES Colony,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Zia Colony,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Ajiz Market,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Aga Nagar,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kunipara,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Babli Masjid,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kaderabad Housing,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kunia,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Gacha,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Boro Bari,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Board Bazar,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kamarjuri,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Dattapara,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Ershadnagar,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Sataish,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Apollo,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Nurer Chala,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Bawaila Para,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Satarkul,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Khilbar Tek,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Buddho Mondir,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Sipahibag,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,TT Para,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Eastern Housing (Adabor),,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Teskunipara,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,DHAKA TENARI MORE,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Shahidnagar,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Jhigatola,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Polashi,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Satmoshjid Road,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Shukrabad,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,BNP Bazar,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kalachandpur,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Jogonnathpur,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kuratuli,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Alatunnessa School Road,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Purbo Rampura,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Bou Bazar - Mohakhali, Dhaka,,Yes,No,60,75,90,0%
Dhaka,Dhaka,Chairman Goli,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Confidence Tower, Jhilpar,,Yes,No,60,75,90,0%
Dhaka,Dhaka,Fuji Trade Center,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Khil Barirtek,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Korail,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Mahanogor,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Nimtola,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Nurerchala,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Pastola Bazar,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Poschim Badda,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Purbo Badda,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Sat-tola Bazar,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Shaheenbagh,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Subastu,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,ICDDRB,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Satrasta,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Tekpara Adorsonagor,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Uttar Badda,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Wireless,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Solmaid,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,300 Feet,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Mirhazirbagh,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Mahut Tuli,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Alubazar,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Badam Toli,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Chamelibag,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Dholaikhal,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Doyagonj,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Farashgong,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Dholpur,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kodomtoli(Keraniganj),,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kotwali (Puran Dhaka),,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Railway Colony,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Rajar Dewri,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Sat rowja,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Tantibazar,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Rosulbagh(Mohakhali),,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Gopalpur,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,College Gate (Tongi),,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Badekomelosshor,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Rail Station,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Uttarkhan Mazar,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Dakshinkhan Bazar,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Hajipara-Dakshinkhan,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Ranavola,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Joynal Market,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Johura Market,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Habib Market,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,BDR Market-House Building,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,BDR Market-Sector 6,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Moinartek,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Atipara,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kotbari (Dakshinkhan),,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Dewan City,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Mollartek,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Gawair,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kosaibari,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Prembagan,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Kachkura,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Helal Market,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Chamur Khan,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Society,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Ismailkholla,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Masterpara,,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Munda (Malibug Hub),,Yes,No,60,75,90,0%,
Dhaka,Dhaka,Barua,,Yes,No,60,75,90,0%,
